freq,airpol,nace_r2,unit,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,GHG,HH_HEAT,T,AT	8612919.2 	7527873.58 	7286478.03 	7535086.74 	6614957.91 	6984462.23 	7293243.37 	7258595.51 	6556363.74 	6756591.5 	6824044.64 	7563709.45 	6482462.56 s
A,GHG,HH_HEAT,T,BE	20171632.96 	16758346.69 	17390383.89 	19035464.08 	15677484.75 	16520324.12 	16425437.81 	16289999.96 	16132133.76 	15531369.65 	14598066.74 	16385836.53 	14254565.5 s
A,GHG,HH_HEAT,T,BG	1442593.88 	1722900.19 	1706367.15 	1565436.41 	1361381.27 	1328738.12 	1423760.24 	1452372.38 	1270467.77 	1234014.21 	1303383.22 	1455714.81 	1487757.1 s
A,GHG,HH_HEAT,T,CH	11102825.03 	8834553.13 	9709032.52 	10321201.6 	8018812.25 	8545251.72 	8844970.53 	8412879.87 	7659202.64 	7668625.52 	7095525.18 	7907603.35 	: 
A,GHG,HH_HEAT,T,CY	413584.6 	467268.52 	456723.71 	383770.77 	353339.46 	410575.41 	420053.85 	421784.96 	364733.66 	415891.84 	410618.73 	389013.33 	391157.33 s
A,GHG,HH_HEAT,T,CZ	10748106.33 	9837453.84 	10030837.26 	10233923.43 	8747079.52 	9109453.87 	9534607.52 	9865689.55 	9212293.68 	8445471.63 	8464147.35 	9040594.64 	8919453.76 s
A,GHG,HH_HEAT,T,DE	104632634.02 	88527267.25 	92646818.44 	98722637.7 	81157519.2 	85473243.12 	86893343.52 	85273773.73 	83238956.83 	88081136.85 	87277348.08 	81080156.72 	76600474.55 s
A,GHG,HH_HEAT,T,DK	3452651.05 	2945734.03 	2763919.15 	2681529.46 	2176310.37 	2287541.66 	2337447.5 	2212734.51 	2130433.38 	2024825.96 	1778385.67 	1650537.37 	1534776.9 s
A,GHG,HH_HEAT,T,EE	223662.68 	225624.87 	229122.04 	217576.57 	214107.73 	195527.21 	206848.96 	195475.92 	190969.22 	199326.21 	182974.09 	189091.92 	210156.38 s
A,GHG,HH_HEAT,T,EL	7142944.21 	8482270.84 	7603310.22 	4158822.48 	4382742.51 	5732929.92 	5420078.24 	5371184.73 	4645049.39 	5160342.72 	5759015.52 	5264104.01 	5225135.63 s
A,GHG,HH_HEAT,T,ES	21681623.84 	18092286.45 	17734718.89 	16995141.64 	16572477.07 	17980395.86 	16943449.83 	16574956.75 	17651918.99 	16032687.2 	16180198 	16113251.26 	14976270.41 e
A,GHG,HH_HEAT,T,EU27_2020	405949299.17 s	355614217.81 s	366257708.67 s	367806341.17 s	309809437.94 s	328349961.16 s	335032691.3 s	332480709.52 s	322496223.75 s	315792849.94 s	313579985.45 s	319285344.21 s	289395104.04 s
A,GHG,HH_HEAT,T,FI	2084987.67 	1595510.69 	1705976.14 	1486659.66 	1447175.21 	1303532.11 	1356992.77 	1278164.52 	1183866.81 	1098578.08 	953757.22 	908260.36 	817593.59 s
A,GHG,HH_HEAT,T,FR	60700649.99 	52657956.96 	57268665.3 	58578361.69 	45832598.22 	48031548.39 	49331631.08 	48233007.82 	44748707.05 	43339971.93 	41024905.28 	43406114.97 	37405286.86 s
A,GHG,HH_HEAT,T,HR	1871317.96 	1750378.19 	1605101.53 	1530370.93 	1352763.67 	1458191.46 	1493019.43 	1513421.7 	1450635.87 	1399352.29 	1468194.11 	1533915.98 	1568870.86 s
A,GHG,HH_HEAT,T,HU	9509320.76 	8952464.26 	8237915.93 	7735609.77 	6922122.46 	7674714.07 	8146539.13 	8631577.87 	7978101.16 	7681396.63 	8162956.26 	8858269.94 	7814042.8 s
A,GHG,HH_HEAT,T,IE	8972001.9 	7723850.48 	7246952.7 	7059618.89 	6256909.63 	6688713.23 	6970562.89 	6592222.99 	7083779.82 	6821561.7 	7360872.93 	6917483.13 	6105070.65 e
A,GHG,HH_HEAT,T,IS	5532.88 	4233.04 	4310.97 	3014.25 	5751.6 	2865.75 	2484.5 	6652.21 	3702.1 	3829.9 	2753.45 	1251 	928.9 
A,GHG,HH_HEAT,T,IT	59447365.6 	55243199.24 	56023846.19 	55344505.83 	46362569.73 	51708426.49 	51941493.51 	51893210.2 	50020301.72 	48329324.17 	47532931.47 	50445074.33 	44176413.58 e
A,GHG,HH_HEAT,T,LT	984319.73 s	972602 s	964742.86 s	912404.96 s	843451.34 s	780751.26 s	873118.85 s	938251.57 s	961077.45 s	914896.75 s	878916.38 s	1015242.01 s	1009969.29 s
A,GHG,HH_HEAT,T,LU	1154389.2 	1058750.8 	1077208.6 	1069581.9 	967261.1 	1080471.4 	1112965.2 	1129014 	1038709.5 	947462.5 	1036337 	994032.3 	846678.09 s
A,GHG,HH_HEAT,T,LV	737921.62 	690714.76 	657687.3 	610105.55 	601959.95 	544761.71 	577057.22 	608098.5 	618814.95 	579207.49 	443959.37 	561007.07 	569794.18 s
A,GHG,HH_HEAT,T,MT	63937.01 	63338.6 	71483.84 	78599.31 	76507.26 	86491.54 	78708.26 	88099.16 	82607.22 	81486.73 	81057.17 	79644.9 	80013.82 s
A,GHG,HH_HEAT,T,NL	23411199.4 s	18623630.77 s	19683149.76 s	20761982.88 s	15903890.54 s	16730276.65 s	17392759.12 s	16962643.48 s	16809274.82 s	16265388.36 s	15573001.15 s	17567064.89 s	13833102.63 s
A,GHG,HH_HEAT,T,NO	1068495.5 	801178.63 	842437.18 	720019.12 	569976.76 	549211.31 	562132.23 	506424.66 	435818.35 	283751.84 	281024.64 	289767.92 	340720.25 s
A,GHG,HH_HEAT,T,PL	45248174.04 	39831100.73 	41728272.07 	40641626.75 	37281177.14 	36818660.74 	39158516.25 	39398575.53 	38851325.16 	33830344.65 	34982894.33 	35248996.83 	33162130.58 s
A,GHG,HH_HEAT,T,PT	1839716.4 	1607115.5 	1505573.7 	1474413.4 	1432179.3 	1393125.8 	1388292.2 	1386663.8 	1437757.4 	1463523.8 	1545543.2 	1430091.6 	1310724.59 s
A,GHG,HH_HEAT,T,RO	5132939.73 	5268456.37 	5619044.26 	5420837.51 	5153167.14 	5300704.07 	5367312.43 	5613870.47 	5779880.14 	5827646.38 	6118542.23 	6957358.79 	6614802.49 s
A,GHG,HH_HEAT,T,SE	855279.52 	597402.04 	563719.1 	541020.41 	459534.41 	445054.16 	376868.3 	387583.96 	355165.22 	310640.96 	299913.72 	299137.41 	281248.85 
A,GHG,HH_HEAT,T,SI	1421687.31 	1244537.75 	1144961 	1029151.04 	824396.05 	898200.76 	896220.26 	865651.9 	796277.99 	774420.41 	786141.91 	769190.31 	772979.2 s
A,GHG,HH_HEAT,T,SK	3991738.56 	3146182.42 	3304729.6 	2002101.42 	834374.99 	1383145.8 	1672363.56 	2044084.07 	1906621.07 	2245989.33 	2551879.7 	3162449.33 	2944171.86 s
